Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
6/27/22,"Avamere Health Services, LLC (Signature Healthcare at Home (Signature), Premere Rehab, LLC (Infinity Rehab))",1/19/22,65076,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
6/23/22,Great Smoky Mountains Association,5/21/21,2862,Name; Financial & Banking Information
6/23/22,"New Schryver, LLC d/b/a TridentCare",4/17/22,554,Name; Full Date of Birth
6/22/22,Renton School District,12/28/21,20509,Name; Student ID Number; Other
6/17/22,"Flagstar Bank, FSB",12/3/21,34026,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
6/15/22,UW Medicine (UW Medical Center - Northwest Campus),4/16/22,739,Name; Full Date of Birth; Medical Information; Other
6/15/22,Baptist Medical Center,3/31/22,920,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/14/22,"Sight Partners Physicians, P.C.",12/4/21,83848,Name; Full Date of Birth; Medical Information; Other
6/10/22,Alliance Physical Therapy Partners,12/23/21,2162,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
6/10/22,"MCG Health, LLC",,68,Name; Social Security Number; Full Date of Birth; Medical Information
6/9/22,"90 Degree Benefits, Inc. Wisconsin",2/24/22,2211,Other
6/8/22,"Choice Health Insurance, LLC",5/7/22,1844,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number
6/6/22,Numrich Gun Parts Corporation,1/23/22,1327,Name; Other
6/3/22,"On Deck Capital, Inc.",3/10/22,1157,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
6/3/22,Varsity Tutors LLC,11/1/21,655,Name; Driver's License or Washington ID Card Number
6/3/22,Kaiser Foundation Health Plan of Washington,4/5/22,69589,Name; Medical Information
6/2/22,Rainier Arms,6/1/21,6493,Name; Financial & Banking Information; Other
6/2/22,The Lanier Law Firm,2/2/21,1479,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
6/1/22,"Stephen Sims, MD, PA dba North Lakes Pain Consultants (NLPC)",9/21/21,5,Name; Social Security Number; Full Date of Birth
5/27/22,Lower LLC,12/10/21,3806,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
5/27/22,"Private Client Services, LLC",11/4/21,518,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
5/26/22,Boeing Employees' Credit Union,3/26/22,717,Name; Financial & Banking Information; Other
5/26/22,Aon Plc,12/29/20,6889,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number
5/26/22,"Shutterfly, LLC",12/3/21,1273,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Other
5/25/22,Fred Hutchinson Cancer Center,3/25/22,78834,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number
5/25/22,"Elephant Insurance Services, LLC",3/26/22,937,Name; Driver's License or Washington ID Card Number; Full Date of Birth
5/24/22,Bryan County Ambulance,11/24/21,1,Name; Social Security Number; Medical Information
5/23/22,"C.R. England, Inc.",10/30/21,4143,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
5/18/22,Partnership HealthPlan of California,3/19/22,1352,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Other
5/12/22,Parker-Hannifin Corporation,3/11/22,4597,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
5/6/22,Cornish College of the Arts,6/6/21,72139,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
5/3/22,"Wells Fargo Bank, N.A.",12/31/21,1511,Name; Social Security Number; Full Date of Birth
4/28/22,Washington Department of Labor & Industries,3/28/22,Unknown,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
4/27/22,"Medscan Laboratory, Inc. (Adaptive Health Integrations",,2968,Name; Social Security Number; Full Date of Birth
4/22/22,King County Public Hospital District No. 2,12/4/21,19092,Name; Full Date of Birth; Medical Information; Other
4/18/22,"UNITE HERE Retirement Fund (Horizon Actuarial Services, LLC)",11/10/21,584,Name; Social Security Number; Full Date of Birth
4/15/22,PlanMember Securities Corporation,2/17/22,4231,Name; Social Security Number; Financial & Banking Information
4/14/22,Snap-On Incorporated,,531,Name; Social Security Number; Driver's License or Washington ID Card Number; Passport Number; Medical Information; Other
4/14/22,"AUTOPAY Direct, Inc.",2/2/22,831,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
4/12/22,Illuminate Education,12/28/21,1743,Name; Full Date of Birth; Student ID Number; Other
4/8/22,EMC National Life Company,12/28/21,2666,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information; Other
4/8/22,Stevens & Lee,6/28/21,1028,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Biometric Data
4/7/22,"IMCO General Construction, Inc.",,1442,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number
4/7/22,PBS Engineering and Environmental,2/4/22,691,Name; Social Security Number
4/6/22,"DialAmerica Marketing, Inc.",2/2/21,621,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
4/6/22,"Pingora Loan Servicing, LLC",10/27/21,45539,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
4/5/22,Sterling Valley Systems d/b/a Inntopia,10/9/21,13387,Name; Financial & Banking Information; Full Date of Birth
4/5/22,Texas Department of Insurance,,129,Name; Social Security Number; Other
3/25/22,"Christie Business Holdings Company, P.C.",7/14/21,694,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/25/22,"Lincare Holdings, Inc.",9/10/21,37050,Name; Social Security Number; Financial & Banking Information; Medical Information
3/25/22,"Marten Transport, Ltd.",9/30/21,521,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
3/23/22,"Leerburg Enterprises, Inc.",9/8/20,634,Name; Financial & Banking Information; Other
3/22/22,"Horizon Actuarial Services, LLC",11/10/21,53256,Name; Social Security Number; Full Date of Birth
3/21/22,"Morley Companies, Inc.",7/20/21,42633,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/21/22,Spokane Regional Health District,2/23/22,1260,Name; Full Date of Birth; Medical Information; Other
3/18/22,"Lakeview Loan Servicing, LLC",10/27/21,156630,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
3/16/22,Sarku Japan,1/13/22,729,Name; Social Security Number; Full Date of Birth; Other
3/15/22,Chelan Douglas Health District,7/2/21,108906,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
3/14/22,Marker Group Inc.,9/3/21,1493,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/11/22,"American Financial Resources, Inc.",12/6/20,6581,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
3/8/22,Guardian Life Insurance,1/20/21,2,Name; Social Security Number; Full Date of Birth
3/4/22,"Wagstaff, Inc.",12/17/21,2028,Name; Social Security Number
2/24/22,Washington State Department of Licensing,,483904,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Email Address and Password/Security Question Answers
2/23/22,"Creative Services, Inc., on behalf of relevant data owners",11/23/21,1311,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
2/22/22,Logan Health Medical Center,11/18/21,3575,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/18/22,Virginia Mason Medical Center,12/21/21,3000,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
2/18/22,"Welfare & Pension Administration Service, Inc. (WPAS)",7/15/21,103557,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
2/15/22,Comprehensive Health Services,4/9/20,2514,Name; Social Security Number
2/11/22,"DPI Specialty Foods, Inc.",1/22/21,610,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
2/9/22,WA State Department of Transportation,,2249,Name; Social Security Number
1/31/22,American Marriage Ministries,,16727,Name; Full Date of Birth
1/31/22,"Unum Group (""Unum"")",10/28/21,1610,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number
1/29/22,Fairmount Memorial Association,9/3/20,6909,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
1/28/22,Keller Supply Company,11/22/21,2486,Name; Social Security Number; Full Date of Birth
1/28/22,Accutech Systems Corporation,8/16/21,1376,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
1/25/22,Aditi Consulting,12/9/21,918,Name; Social Security Number; Full Date of Birth
1/21/22,"Nuna Baby Essentials, Inc.",3/26/20,816,Name; Financial & Banking Information
1/21/22,"Hörmann Northwest Door, LLC",8/27/21,552,Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
1/21/22,Boeing Employees' Credit Union,12/27/21,2187,Name; Financial & Banking Information; Other
1/21/22,Title Guaranty Company of Lewis County,10/24/21,1109,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Email Address and Password/Security Question Answers
1/19/22,Spokane Regional Health District,,1058,Name; Full Date of Birth; Medical Information; Other
1/19/22,"LendUS, LLC",2/2/21,696,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
